polit	state	wear_mask	0
REPUBLICAN	New Mexico	0.0	2
REPUBLICAN	New York	0.0	68
REPUBLICAN	New York	1.0	26
REPUBLICAN	North Carolina	0.0	24
REPUBLICAN	North Carolina	1.0	4
REPUBLICAN	North Dakota	0.0	8
REPUBLICAN	North Dakota	1.0	1
REPUBLICAN	Ohio	0.0	57
REPUBLICAN	Ohio	1.0	9
REPUBLICAN	Oklahoma	0.0	11
REPUBLICAN	Oklahoma	1.0	6
REPUBLICAN	Oregon	0.0	13
REPUBLICAN	Oregon	1.0	3
REPUBLICAN	Pennsylvania	0.0	76
REPUBLICAN	Pennsylvania	1.0	8
REPUBLICAN	Rhode Island	0.0	4
REPUBLICAN	South Carolina	0.0	15
REPUBLICAN	South Carolina	1.0	1
REPUBLICAN	South Dakota	0.0	10
REPUBLICAN	South Dakota	1.0	1
REPUBLICAN	Tennessee	0.0	34
REPUBLICAN	Tennessee	1.0	5
REPUBLICAN	Texas	0.0	64
REPUBLICAN	Texas	1.0	14
REPUBLICAN	Utah	0.0	12
REPUBLICAN	Utah	1.0	2
REPUBLICAN	Vermont	0.0	7
REPUBLICAN	Vermont	1.0	1
REPUBLICAN	Virginia	0.0	20
REPUBLICAN	Virginia	1.0	8
REPUBLICAN	Washington	0.0	12
REPUBLICAN	Washington	1.0	4
REPUBLICAN	West Virginia	0.0	15
REPUBLICAN	West Virginia	1.0	5
REPUBLICAN	Wisconsin	0.0	33
REPUBLICAN	Wisconsin	1.0	8
REPUBLICAN	Wyoming	0.0	8
REPUBLICAN	Wyoming	1.0	1
